City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
219,suomussalmi,64.8869,28.9078,10.65,96,100,4.0,FI,1689979505
220,kongsberg,59.6652,9.6465,11.77,91,100,0.87,NO,1689979505
221,masterton,-40.9597,175.6575,9.94,94,100,2.68,NZ,1689979505
222,kas,36.2018,29.6377,31.01,35,0,2.84,TR,1689979505
223,port saint john's,-31.6229,29.5448,14.19,77,83,3.56,ZA,1689979505
224,guerrero negro,27.9769,-114.0611,23.69,62,84,7.84,MX,1689979506
225,aasiaat,68.7098,-52.8699,3.53,95,97,5.17,GL,1689979506
226,zyrya,40.3661,50.2917,26.05,61,4,2.74,AZ,1689979506
227,bumba,2.1833,22.4667,24.25,78,55,0.43,CD,1689979506
228,newman,37.3138,-121.0208,41.19,6,0,4.25,US,1689979506
229,boa vista,2.8197,-60.6733,25.99,73,75,2.57,BR,1689979507
230,labytnangi,66.6572,66.4183,18.46,87,100,1.75,RU,1689979507
231,madre de deus,-12.7408,-38.6208,26.03,90,34,3.54,BR,1689979507
232,uribia,11.7139,-72.266,30.65,60,0,10.06,CO,1689979507
233,lompoc,34.6391,-120.4579,36.12,73,75,2.68,US,1689979508
234,mumford,5.2618,-0.759,24.73,88,61,5.88,GH,1689979508
235,carnarvon,-24.8667,113.6333,13.47,36,0,9.71,AU,1689979508
236,susuman,62.7833,148.1667,22.98,46,96,2.22,RU,1689979508
237,flying fish cove,-10.4217,105.6791,23.82,83,100,7.2,CX,1689979509
238,kalmunai,7.4167,81.8167,26.23,66,100,3.15,LK,1689979292
239,solnechnyy,50.7214,136.6319,20.81,71,100,1.97,RU,1689979509
240,pulawy,51.4166,21.9694,15.85,87,96,2.87,PL,1689979509
241,coracora,-15.0333,-73.7833,12.86,51,8,1.69,PE,1689979509
242,samtse,26.899,89.0995,25.08,89,100,0.95,BT,1689979509
243,codrington,-38.2667,141.9667,10.0,87,99,5.44,AU,1689979510
244,enewetak,11.3474,162.3373,28.7,77,87,6.99,MH,1689979510
245,grenada,37.1882,-3.6067,25.93,29,0,2.24,ES,1689979510
246,mejit,10.2753,170.8646,28.61,79,100,6.87,MH,1689979510
247,ndele,8.4109,20.6473,22.7,89,100,1.65,CF,1689979510
248,amalapuram,16.5833,82.0167,26.26,83,89,3.59,IN,1689979510
249,bandar-e lengeh,26.5579,54.8807,33.03,71,68,6.97,IR,1689979511
250,kiunga,-6.1219,141.2906,23.04,96,100,1.54,PG,1689979511
251,banda aceh,5.5577,95.3222,26.88,74,91,5.91,ID,1689979511
252,kenai,60.5544,-151.2583,21.05,56,100,5.66,US,1689979459
253,estevan,49.1334,-102.9842,29.11,30,20,6.17,CA,1689978993
254,klaksvik,62.2266,-6.589,11.51,93,41,4.28,FO,1689979511
255,laela,-8.5667,32.05,12.46,65,0,1.69,TZ,1689979512
256,greenwood,34.1668,-82.1165,32.57,61,20,5.14,US,1689978937
257,novoshcherbinovskaya,46.4767,38.6476,21.17,65,0,3.46,RU,1689979512
258,minas de marcona,-15.2119,-75.1103,13.91,81,5,5.59,PE,1689979512
259,nova sintra,14.8667,-24.7167,22.99,83,19,7.26,CV,1689979512
260,smithers,54.7804,-127.1743,16.18,94,100,2.06,CA,1689979512
261,tromso,69.6496,18.957,12.01,82,0,2.06,NO,1689979512
262,alo,7.4178,6.7371,24.13,96,100,1.73,NG,1689979513
263,east london,-33.0153,27.9116,17.88,51,90,6.75,ZA,1689979513
264,jatara,25.0167,79.05,30.67,62,55,3.82,IN,1689979513
265,dhahran,26.3032,50.1353,34.45,35,0,2.06,SA,1689979513
266,ulsteinvik,62.3432,5.8487,13.51,82,45,3.13,NO,1689979513
267,port lincoln,-34.7333,135.8667,12.64,77,49,6.56,AU,1689979513
268,aras-asan,8.8908,126.3033,25.58,88,100,2.73,PH,1689979513
269,sibu,2.3,111.8167,25.17,94,20,1.54,MY,1689979513
270,zarand,30.8127,56.564,26.32,20,98,2.16,IR,1689979514
271,bodaybo,57.8506,114.1933,18.34,78,19,0.57,RU,1689979514
272,fort mcmurray,56.7268,-111.381,27.77,47,0,3.09,CA,1689979514
273,sandnessjoen,66.0217,12.6316,13.29,94,100,4.62,NO,1689979514
274,qarqaraly,49.4058,75.4742,14.88,83,38,2.98,KZ,1689979515
275,cooma,-36.2333,149.1333,3.12,70,7,0.47,AU,1689979515
276,port elizabeth,-33.918,25.5701,14.16,62,0,2.06,ZA,1689979515
277,nefteyugansk,61.0998,72.6035,15.27,93,66,4.09,RU,1689979167
278,clodomira,-27.5744,-64.1311,25.64,43,99,4.96,AR,1689979515
279,castlegar,49.2998,-117.6689,32.38,18,100,2.7,CA,1689979516
280,misratah,32.3754,15.0925,28.79,66,0,4.35,LY,1689979516
281,kidal,18.4411,1.4078,33.46,32,100,6.42,ML,1689979516
282,oranjemund,-28.55,16.4333,11.77,55,46,0.77,NA,1689979516
283,surab,28.4914,66.2585,25.51,60,96,0.57,PK,1689979516
284,eastham,41.8301,-69.9739,23.18,81,100,3.09,US,1689979516
285,afaahiti,-17.75,-149.2833,26.93,62,43,4.69,PF,1689979516
286,san patricio,28.017,-97.5169,36.77,43,0,6.36,US,1689979517
287,kangdong-up,39.1425,126.0961,24.83,81,73,2.24,KP,1689979517
288,kyshtovka,56.555,76.6271,15.21,96,57,2.37,RU,1689979517
289,kasempa,-13.4584,25.8338,17.2,49,20,3.53,ZM,1689979517
290,bouca,6.5105,18.2733,21.23,95,100,1.27,CF,1689979517
291,san luis de la loma,17.2706,-100.8939,30.64,71,45,3.87,MX,1689979517
292,marovoay,-16.1,46.6333,21.67,59,42,3.14,MG,1689979517
293,starozhilovo,54.2254,39.916,11.98,77,14,3.14,RU,1689979517
294,conception bay south,47.4999,-52.9981,25.53,89,25,3.76,CA,1689979259
295,dorado,18.4588,-66.2677,30.1,77,40,5.14,PR,1689979518
296,klyuchi,52.2667,79.1667,18.23,79,96,3.13,RU,1689979518
297,bac lieu,9.285,105.7244,25.13,90,100,4.66,VN,1689979518
298,pacasmayo,-7.4006,-79.5714,21.5,79,58,7.19,PE,1689979518
299,zaozersk,69.4005,32.4476,8.17,85,100,6.77,RU,1689979518
300,dwarka,22.2394,68.9678,27.93,84,100,6.19,IN,1689979518
301,mossel bay,-34.1831,22.146,7.96,65,67,1.06,ZA,1689979518
302,villa regina,-39.1,-67.0667,13.89,43,99,2.68,AR,1689979519
303,chernyshevskiy,63.0128,112.4714,20.34,58,65,1.81,RU,1689979519
304,diano marina,43.9103,8.0793,26.33,84,1,0.45,IT,1689979519
305,hasaki,35.7333,140.8333,26.27,74,10,4.38,JP,1689979519
306,domna,51.8971,113.1573,14.09,67,100,2.0,RU,1689979519
307,shingu,33.7333,135.9833,27.11,72,0,3.12,JP,1689979519
308,sastobe,42.55,70.0,26.94,29,0,4.51,KZ,1689979520
309,kourou,5.1552,-52.6478,25.03,87,47,3.51,GF,1689979520
310,leava,-14.3,-178.1667,27.13,81,36,4.74,WF,1689979520
311,ryotsu-minato,38.0833,138.4333,24.79,82,4,1.6,JP,1689979520
312,quang ngai,15.1167,108.8,25.74,86,90,1.37,VN,1689979521
313,santyoku,37.4406,129.1708,23.99,80,38,3.11,KR,1689979521
314,ebon,4.582,168.6964,25.05,88,100,2.38,MH,1689979521
315,hilo,19.7297,-155.09,27.85,73,75,3.58,US,1689979343
316,kalanchak,46.2562,33.2907,20.46,49,0,1.75,UA,1689979521
317,sao joao da barra,-21.6403,-41.0511,21.05,63,99,4.63,BR,1689979521
318,batticaloa,7.7102,81.6924,26.94,64,100,4.14,LK,1689979371
319,xilin hot,43.9667,116.0333,17.59,76,91,2.43,CN,1689979522
320,mar del plata,-38.0023,-57.5575,20.01,90,75,4.92,AR,1689979522
321,prince rupert,54.3161,-130.3201,18.83,88,100,2.57,CA,1689979229
322,staunton,38.1496,-79.0717,27.64,52,0,4.63,US,1689979522
323,senanga,-16.1167,23.2667,15.89,64,14,2.62,ZM,1689979522
324,broken hill,-31.95,141.4333,8.51,58,3,1.59,AU,1689979523
325,daru,-9.0763,143.2092,25.68,76,96,6.23,PG,1689979523
326,kochubey,44.3861,46.5825,23.04,58,42,2.34,RU,1689979523
327,santa isabel,-23.3156,-46.2214,17.61,96,2,1.09,BR,1689979445
328,san andres,12.5847,-81.7006,30.01,84,40,5.66,CO,1689979523
329,kerikeri,-35.2268,173.9474,12.73,82,45,0.45,NZ,1689979524
330,santiago de cao,-7.9589,-79.2392,23.07,73,75,4.63,PE,1689979524
331,melfort,52.8667,-104.6177,27.07,36,60,6.69,CA,1689979524
332,kapuskasing,49.4169,-82.4331,22.05,43,20,5.14,CA,1689979342
333,acarau,-2.8856,-40.12,26.17,70,2,7.84,BR,1689979525
334,mandali,33.7499,45.5541,33.92,12,0,4.17,IQ,1689979525
335,pagar alam,-4.0167,103.2667,20.32,98,77,0.84,ID,1689979525
336,qazvin,36.2797,50.0049,22.79,60,0,1.03,IR,1689979525
337,preobrazheniye,42.9019,133.9064,21.09,83,54,2.49,RU,1689979525
338,kununurra,-15.7667,128.7333,22.99,38,3,5.66,AU,1689979525
339,ketchikan,55.3422,-131.6461,17.26,94,100,2.57,US,1689979525
340,ulan bator,47.9077,106.8832,15.07,82,75,3.0,MN,1689979482
341,greymouth,-42.4667,171.2,7.46,67,11,3.64,NZ,1689979526
342,qamdo,31.1667,97.2333,2.43,53,0,0.85,CN,1689979526
343,yerofey pavlovich,53.9667,121.9667,17.37,61,100,0.88,RU,1689979526
344,les avirons,-21.2418,55.3394,19.05,83,75,5.66,RE,1689979526
345,sabang,5.8933,95.3214,28.42,74,96,9.38,ID,1689979526
346,biharamulo,-2.6319,31.3089,17.88,40,25,1.61,TZ,1689979526
347,niamey,13.5137,2.1098,26.16,89,0,3.09,NE,1689979467
348,ingeniero guillermo n. juarez,-23.9,-61.85,31.49,23,0,10.06,AR,1689979527
349,hinton,53.4001,-117.5857,17.01,87,85,2.41,CA,1689979527
350,mugia,43.1041,-9.2179,18.84,85,50,8.03,ES,1689979527
351,erenhot,43.6475,111.9767,21.02,63,32,5.05,CN,1689979527
352,kangding,30.0513,101.9603,12.77,77,75,2.43,CN,1689979527
353,kampung tanjung karang,3.4242,101.1849,25.38,86,85,1.43,MY,1689979528
354,tofol,5.3248,163.0078,27.88,83,75,1.54,FM,1689979529
355,uvinza,-5.1036,30.3911,19.71,43,1,1.54,TZ,1689979529
356,nyrob,60.733,56.7202,12.89,98,95,2.94,RU,1689979529
357,le port,-20.9373,55.2919,21.0,92,11,2.45,RE,1689979529
358,balkanabat,39.5108,54.3671,32.54,18,30,2.54,TM,1689979530
359,camargo,27.6667,-105.1667,37.2,13,89,5.75,MX,1689979530
360,dalandzadgad,43.5708,104.425,22.34,42,100,7.83,MN,1689979530
361,konstantinovka,49.6167,127.9833,23.24,33,100,0.75,RU,1689979531
362,bonthe,7.5264,-12.505,25.2,89,100,5.11,SL,1689979531
363,kargopol',61.5071,38.9456,13.02,91,100,5.28,RU,1689979532
